2016-06-03_8:34:48,-9.0,-8.0,-12.0,-8.0,-16.0,-8.0,-10.0,-9.0,-15.0,-2.0,12.0,-2.0
2016-06-03_8:34:53,-10.0,-6.0,-1.0,-9.0,-8.0,-8.0,-5.0,-9.0,-5.0,-7.0,22.0,-7.0
2016-06-03_8:34:57,-5.0,-3.0,-3.0,-15.0,-12.0,-15.0,-2.0,-5.0,-4.0,-5.0,20.0,-2.0
2016-06-03_8:35:02,-10.0,-3.0,-1.0,-5.0,-10.0,-6.0,-6.0,-5.0,-2.0,-4.0,12.0,-6.0
2016-06-03_8:35:06,-5.0,-3.0,-3.0,-8.0,-11.0,-1.0,-10.0,-12.0,1.0,0.0,14.0,-4.0
2016-06-03_8:35:11,-6.0,-4.0,1.0,-7.0,-14.0,-10.0,-5.0,-8.0,-3.0,-9.0,10.0,-6.0
2016-06-03_8:35:15,-9.0,-7.0,-4.0,-6.0,-15.0,-5.0,-6.0,-6.0,-1.0,0.0,12.0,-5.0
2016-06-03_8:35:20,-9.0,-7.0,2.0,-13.0,-8.0,-8.0,-4.0,-7.0,0.0,0.0,21.0,-8.0
2016-06-03_8:35:25,-8.0,-5.0,-1.0,-7.0,-10.0,-9.0,-6.0,-7.0,0.0,1.0,9.0,-7.0
2016-06-03_8:35:29,-10.0,-12.0,-3.0,-7.0,-13.0,-4.0,1.0,-9.0,1.0,-4.0,18.0,-9.0
2016-06-03_8:35:34,-17.0,-7.0,1.0,-3.0,-11.0,-7.0,-2.0,-7.0,0.0,-6.0,12.0,-3.0
2016-06-03_8:35:38,-6.0,-3.0,-2.0,-11.0,-11.0,-8.0,-5.0,-3.0,-5.0,0.0,12.0,-4.0
2016-06-03_8:35:43,-8.0,0.0,0.0,-4.0,-14.0,-9.0,-6.0,-4.0,-6.0,1.0,20.0,-6.0
2016-06-03_8:35:48,-7.0,-3.0,-1.0,-10.0,-10.0,-7.0,5.0,-7.0,-5.0,-1.0,21.0,-6.0
2016-06-03_8:35:52,-14.0,1.0,-1.0,-10.0,-12.0,-10.0,-7.0,-9.0,0.0,-1.0,10.0,-3.0
2016-06-03_8:35:57,-11.0,-17.0,3.0,-5.0,-10.0,-8.0,-5.0,-10.0,-1.0,-3.0,28.0,-4.0
2016-06-03_8:36:01,-10.0,-5.0,4.0,-5.0,-8.0,-9.0,-4.0,-9.0,-6.0,-6.0,1.0,-6.0
2016-06-03_8:36:06,-10.0,-1.0,3.0,-4.0,-6.0,-11.0,-8.0,-6.0,-1.0,1.0,2.0,0.0
2016-06-03_8:36:10,-8.0,-7.0,4.0,-6.0,-9.0,-7.0,-7.0,-10.0,1.0,-6.0,9.0,-6.0
2016-06-03_8:36:15,-5.0,-11.0,-3.0,-9.0,-14.0,-9.0,-4.0,-9.0,1.0,0.0,10.0,-5.0
2016-06-03_8:36:20,-7.0,-6.0,-4.0,-8.0,-15.0,-4.0,-9.0,-6.0,1.0,-2.0,15.0,-3.0
2016-06-03_8:36:24,-5.0,-3.0,-6.0,-6.0,-8.0,-12.0,-8.0,-5.0,3.0,-2.0,5.0,-2.0
2016-06-03_8:36:29,-8.0,-2.0,-1.0,-6.0,-16.0,-9.0,-5.0,-8.0,-5.0,3.0,7.0,-5.0
2016-06-03_8:36:33,-4.0,-7.0,0.0,-8.0,-10.0,-6.0,-6.0,-4.0,-1.0,-3.0,5.0,-2.0
2016-06-03_8:36:38,-5.0,-3.0,1.0,-6.0,-12.0,-8.0,-7.0,-7.0,-7.0,-1.0,4.0,-2.0
2016-06-03_8:36:42,-9.0,-4.0,-1.0,-9.0,-11.0,-10.0,-5.0,-8.0,-2.0,0.0,12.0,-2.0
2016-06-03_8:36:47,-16.0,-3.0,4.0,-10.0,-9.0,-6.0,-6.0,-3.0,-7.0,-4.0,2.0,-11.0
2016-06-03_8:36:52,-10.0,-7.0,-2.0,-7.0,-9.0,-4.0,-3.0,-8.0,-6.0,1.0,6.0,-3.0
2016-06-03_8:36:56,-6.0,-7.0,-3.0,-9.0,-9.0,-7.0,-6.0,-5.0,-2.0,-3.0,11.0,-5.0
2016-06-03_8:37:01,-18.0,-6.0,-6.0,-6.0,-8.0,-5.0,-5.0,-9.0,-4.0,-5.0,-34.0,-7.0
2016-06-03_8:37:05,-10.0,-5.0,-4.0,-4.0,-18.0,-5.0,-7.0,-6.0,-6.0,0.0,-35.0,0.0
2016-06-03_8:37:10,-6.0,-7.0,2.0,-6.0,-12.0,-6.0,-5.0,-5.0,-13.0,-6.0,-35.0,-3.0
2016-06-03_8:37:15,-8.0,-5.0,-2.0,-8.0,-14.0,-7.0,-5.0,-5.0,-3.0,-6.0,7.0,-6.0
2016-06-03_8:37:19,-11.0,-3.0,-6.0,-7.0,-14.0,-7.0,-3.0,-2.0,0.0,-3.0,1.0,-4.0
2016-06-03_8:37:24,-11.0,-7.0,0.0,-3.0,-10.0,-12.0,-7.0,-7.0,3.0,-5.0,4.0,-9.0
2016-06-03_8:37:28,-5.0,-5.0,0.0,-8.0,-13.0,-8.0,-10.0,-2.0,-9.0,-7.0,-36.0,-3.0
2016-06-03_8:37:33,-8.0,-3.0,-4.0,-8.0,-6.0,-7.0,-8.0,-6.0,-12.0,-2.0,4.0,-2.0
2016-06-03_8:37:38,-10.0,-11.0,-2.0,-7.0,-7.0,-4.0,-9.0,-7.0,0.0,1.0,12.0,-6.0
2016-06-03_8:37:42,-6.0,-5.0,1.0,-10.0,-14.0,-11.0,-3.0,-7.0,-1.0,-1.0,-1.0,-9.0
2016-06-03_8:37:47,-6.0,-6.0,1.0,-5.0,-14.0,-9.0,-7.0,-5.0,0.0,-3.0,-3.0,-6.0
2016-06-03_8:37:51,-7.0,-3.0,3.0,-6.0,-10.0,-5.0,-7.0,-8.0,0.0,-3.0,3.0,-4.0
2016-06-03_8:37:56,-8.0,-5.0,2.0,-7.0,-15.0,-8.0,-7.0,-9.0,-6.0,2.0,4.0,-7.0
2016-06-03_8:38:01,-5.0,-4.0,-6.0,-5.0,-12.0,-9.0,-6.0,-8.0,0.0,1.0,-1.0,-3.0
2016-06-03_8:38:06,-11.0,-4.0,-4.0,-8.0,-14.0,-6.0,-4.0,-12.0,-4.0,0.0,11.0,-3.0
2016-06-03_8:38:10,-8.0,-4.0,-3.0,-6.0,-7.0,-4.0,0.0,-5.0,-2.0,-5.0,0.0,-8.0
2016-06-03_8:38:15,-9.0,-5.0,0.0,-11.0,-13.0,-3.0,-6.0,-7.0,-5.0,-3.0,8.0,-6.0
2016-06-03_8:38:19,-12.0,-4.0,-7.0,-5.0,-11.0,-9.0,-4.0,-8.0,-2.0,-3.0,10.0,-3.0
2016-06-03_8:38:24,-3.0,-4.0,5.0,-7.0,-13.0,-10.0,-6.0,-5.0,0.0,-6.0,7.0,-6.0
2016-06-03_8:38:29,-5.0,-5.0,0.0,-7.0,-14.0,-6.0,-5.0,-11.0,3.0,-2.0,4.0,-3.0
2016-06-03_8:38:33,-8.0,-7.0,-3.0,-9.0,-7.0,-7.0,-1.0,-2.0,-7.0,-1.0,15.0,-4.0
2016-06-03_8:38:38,-13.0,-7.0,5.0,-7.0,-10.0,-10.0,-4.0,-8.0,-5.0,5.0,2.0,-11.0
2016-06-03_8:38:43,-6.0,-6.0,4.0,-11.0,-9.0,-9.0,-2.0,-5.0,-4.0,-1.0,13.0,-6.0
2016-06-03_8:38:47,-4.0,1.0,1.0,-9.0,-16.0,-2.0,-8.0,-9.0,-1.0,-4.0,4.0,-3.0
2016-06-03_8:38:52,-14.0,-3.0,-3.0,-4.0,-10.0,-10.0,-9.0,-9.0,-4.0,-6.0,-4.0,-3.0
2016-06-03_8:38:56,-9.0,-6.0,-6.0,-3.0,-12.0,-6.0,-11.0,-7.0,-2.0,-4.0,7.0,-5.0
2016-06-03_8:39:01,-8.0,-5.0,2.0,-4.0,-3.0,-6.0,-7.0,-8.0,0.0,-2.0,8.0,-1.0
2016-06-03_8:39:06,-3.0,-8.0,-4.0,-10.0,-14.0,-7.0,-4.0,-8.0,-9.0,-4.0,9.0,-5.0
2016-06-03_8:39:10,-7.0,-6.0,4.0,-6.0,-14.0,-7.0,-3.0,-6.0,1.0,-1.0,6.0,-5.0
2016-06-03_8:39:15,-6.0,-6.0,0.0,-7.0,-12.0,-11.0,-6.0,-5.0,-5.0,5.0,13.0,-7.0
2016-06-03_8:39:19,-10.0,-3.0,-2.0,-10.0,-7.0,-3.0,-7.0,-7.0,-11.0,-2.0,-2.0,-3.0
2016-06-03_8:39:24,-8.0,-3.0,0.0,-6.0,-13.0,-11.0,-9.0,-7.0,-3.0,-3.0,9.0,-7.0
2016-06-03_8:39:28,-6.0,-5.0,-10.0,-8.0,-11.0,-5.0,-12.0,-6.0,-5.0,0.0,5.0,-8.0
2016-06-03_8:39:33,-9.0,-5.0,1.0,-6.0,-13.0,-8.0,-2.0,-8.0,0.0,-2.0,4.0,-6.0
2016-06-03_8:39:37,-10.0,-6.0,-2.0,-6.0,-11.0,-10.0,-5.0,-5.0,1.0,0.0,4.0,-4.0
2016-06-03_8:39:42,-10.0,-2.0,-2.0,-8.0,-10.0,-6.0,-6.0,-7.0,-10.0,0.0,3.0,-3.0
2016-06-03_8:39:47,-8.0,-4.0,-1.0,-6.0,-8.0,-2.0,-5.0,-10.0,-1.0,-1.0,6.0,-4.0
2016-06-03_8:39:51,-9.0,-6.0,-2.0,-11.0,-10.0,-6.0,-8.0,-8.0,-1.0,-2.0,-13.0,-1.0
2016-06-03_8:39:56,-11.0,-5.0,-5.0,-4.0,-13.0,-8.0,-1.0,-3.0,-2.0,-2.0,-26.0,-5.0
2016-06-03_8:40:00,276.0,830.0,219.0,653.0,176.0,288.0,1656.0,92.0,92.0,522.0,28.0,170.0
2016-06-03_8:40:05,270.0,804.0,213.0,642.0,170.0,270.0,1625.0,90.0,94.0,508.0,-4.0,156.0
2016-06-03_8:40:09,268.0,773.0,220.0,637.0,166.0,279.0,1633.0,95.0,84.0,512.0,21.0,158.0
2016-06-03_8:40:14,263.0,789.0,202.0,639.0,158.0,265.0,1670.0,88.0,94.0,500.0,35.0,156.0
2016-06-03_8:40:19,259.0,766.0,215.0,620.0,168.0,269.0,1668.0,91.0,87.0,514.0,25.0,164.0
2016-06-03_8:40:23,263.0,780.0,211.0,635.0,161.0,274.0,1677.0,88.0,93.0,506.0,26.0,167.0
2016-06-03_8:40:28,267.0,778.0,210.0,638.0,166.0,270.0,1711.0,93.0,88.0,514.0,31.0,163.0
2016-06-03_8:40:32,279.0,825.0,222.0,655.0,163.0,273.0,1690.0,91.0,89.0,517.0,18.0,163.0
2016-06-03_8:40:37,267.0,794.0,210.0,647.0,158.0,278.0,1702.0,87.0,87.0,519.0,25.0,167.0
2016-06-03_8:40:42,271.0,789.0,212.0,623.0,165.0,281.0,1718.0,93.0,84.0,511.0,28.0,162.0
2016-06-03_8:40:46,265.0,800.0,213.0,648.0,161.0,265.0,1766.0,98.0,97.0,528.0,21.0,167.0
2016-06-03_8:40:51,269.0,769.0,201.0,623.0,148.0,271.0,1752.0,91.0,88.0,532.0,22.0,167.0
2016-06-03_8:40:55,268.0,761.0,211.0,640.0,158.0,265.0,1704.0,95.0,98.0,526.0,15.0,162.0
2016-06-03_8:41:00,271.0,750.0,206.0,613.0,158.0,272.0,1710.0,80.0,92.0,514.0,19.0,170.0
2016-06-03_8:41:04,262.0,767.0,201.0,612.0,163.0,268.0,1732.0,89.0,83.0,527.0,22.0,163.0
2016-06-03_8:41:09,272.0,772.0,213.0,626.0,157.0,277.0,1741.0,89.0,87.0,525.0,31.0,175.0
2016-06-03_8:41:14,263.0,735.0,199.0,631.0,156.0,266.0,1744.0,90.0,88.0,537.0,13.0,169.0
2016-06-03_8:41:18,274.0,773.0,208.0,640.0,161.0,262.0,1774.0,93.0,91.0,542.0,23.0,170.0
2016-06-03_8:41:23,251.0,772.0,216.0,606.0,151.0,271.0,1753.0,86.0,92.0,526.0,28.0,170.0
2016-06-03_8:41:27,268.0,765.0,204.0,648.0,166.0,275.0,1811.0,89.0,85.0,556.0,25.0,179.0
2016-06-03_8:41:32,268.0,770.0,206.0,635.0,155.0,267.0,1794.0,85.0,84.0,548.0,21.0,181.0
2016-06-03_8:41:37,254.0,751.0,215.0,619.0,157.0,260.0,1752.0,93.0,95.0,530.0,24.0,175.0
2016-06-03_8:41:41,264.0,763.0,206.0,613.0,164.0,267.0,1764.0,90.0,84.0,543.0,21.0,171.0
2016-06-03_8:41:46,269.0,763.0,219.0,625.0,150.0,260.0,1789.0,93.0,86.0,541.0,23.0,174.0
2016-06-03_8:41:50,262.0,752.0,208.0,620.0,151.0,268.0,1770.0,83.0,87.0,546.0,27.0,167.0
2016-06-03_8:41:55,258.0,757.0,200.0,621.0,155.0,267.0,1793.0,90.0,86.0,546.0,24.0,173.0
2016-06-03_8:41:59,261.0,741.0,211.0,606.0,149.0,252.0,1787.0,88.0,77.0,537.0,25.0,158.0
2016-06-03_8:42:04,252.0,748.0,204.0,620.0,152.0,272.0,1781.0,88.0,93.0,539.0,23.0,173.0
2016-06-03_8:42:09,262.0,762.0,207.0,620.0,160.0,260.0,1807.0,101.0,84.0,549.0,24.0,172.0
2016-06-03_8:42:13,265.0,760.0,216.0,617.0,163.0,255.0,1855.0,86.0,90.0,568.0,21.0,170.0
2016-06-03_8:42:19,259.0,755.0,214.0,620.0,155.0,277.0,1844.0,91.0,93.0,566.0,25.0,181.0
2016-06-03_8:42:23,255.0,759.0,207.0,616.0,163.0,255.0,1813.0,84.0,84.0,550.0,15.0,180.0
2016-06-03_8:42:28,257.0,746.0,202.0,608.0,158.0,266.0,1810.0,88.0,79.0,541.0,26.0,182.0
2016-06-03_8:42:33,258.0,743.0,212.0,588.0,156.0,265.0,1787.0,83.0,86.0,542.0,15.0,177.0
2016-06-03_8:42:37,248.0,747.0,208.0,611.0,157.0,262.0,1844.0,89.0,89.0,562.0,15.0,179.0
2016-06-03_8:42:42,257.0,740.0,207.0,612.0,160.0,264.0,1823.0,83.0,84.0,548.0,23.0,181.0
2016-06-03_8:42:46,260.0,757.0,206.0,608.0,152.0,258.0,1818.0,79.0,67.0,553.0,32.0,182.0
2016-06-03_8:42:51,261.0,737.0,214.0,605.0,156.0,268.0,1849.0,93.0,83.0,552.0,25.0,181.0
2016-06-03_8:42:56,259.0,742.0,205.0,593.0,156.0,248.0,1810.0,78.0,83.0,552.0,30.0,181.0
2016-06-03_8:43:00,264.0,746.0,206.0,615.0,152.0,262.0,1849.0,81.0,89.0,564.0,24.0,180.0
2016-06-03_8:43:05,262.0,740.0,202.0,598.0,155.0,261.0,1798.0,85.0,84.0,556.0,27.0,179.0
2016-06-03_8:43:09,260.0,739.0,211.0,613.0,157.0,250.0,1816.0,86.0,82.0,554.0,24.0,174.0
2016-06-03_8:43:14,257.0,739.0,205.0,609.0,157.0,260.0,1868.0,89.0,91.0,568.0,28.0,173.0
2016-06-03_8:43:18,252.0,743.0,215.0,614.0,150.0,248.0,1819.0,86.0,86.0,556.0,24.0,171.0
2016-06-03_8:43:23,262.0,737.0,194.0,610.0,159.0,252.0,1772.0,81.0,74.0,539.0,22.0,174.0
2016-06-03_8:43:28,255.0,740.0,201.0,609.0,159.0,255.0,1834.0,83.0,85.0,551.0,25.0,177.0
2016-06-03_8:43:32,247.0,728.0,195.0,605.0,157.0,259.0,1833.0,82.0,83.0,547.0,27.0,182.0
2016-06-03_8:43:37,255.0,746.0,211.0,592.0,147.0,250.0,1833.0,86.0,88.0,555.0,31.0,181.0
2016-06-03_8:43:41,249.0,731.0,198.0,603.0,163.0,256.0,1800.0,86.0,88.0,545.0,22.0,182.0
2016-06-03_8:43:46,247.0,727.0,197.0,599.0,152.0,252.0,1835.0,81.0,81.0,555.0,23.0,179.0
2016-06-03_8:43:50,267.0,743.0,214.0,598.0,154.0,268.0,1855.0,86.0,83.0,569.0,28.0,179.0
2016-06-03_8:43:55,252.0,728.0,210.0,601.0,149.0,261.0,1870.0,85.0,86.0,576.0,20.0,178.0
2016-06-03_8:44:00,253.0,739.0,206.0,599.0,159.0,254.0,1845.0,76.0,84.0,563.0,25.0,182.0
2016-06-03_8:44:04,261.0,712.0,208.0,586.0,151.0,265.0,1794.0,80.0,84.0,545.0,28.0,179.0
2016-06-03_8:44:09,253.0,722.0,207.0,594.0,146.0,257.0,1808.0,82.0,79.0,555.0,31.0,181.0
2016-06-03_8:44:13,257.0,742.0,205.0,601.0,154.0,249.0,1838.0,79.0,95.0,556.0,34.0,173.0
2016-06-03_8:44:18,258.0,718.0,196.0,590.0,145.0,252.0,1799.0,80.0,84.0,560.0,29.0,176.0
2016-06-03_8:44:22,256.0,712.0,212.0,587.0,150.0,238.0,1777.0,85.0,87.0,556.0,26.0,176.0
2016-06-03_8:44:27,254.0,716.0,202.0,603.0,157.0,248.0,1845.0,85.0,82.0,553.0,19.0,173.0
2016-06-03_8:44:32,257.0,721.0,212.0,589.0,145.0,246.0,1820.0,77.0,80.0,558.0,42.0,183.0
2016-06-03_8:44:36,255.0,717.0,208.0,592.0,154.0,251.0,1840.0,76.0,94.0,556.0,31.0,182.0
2016-06-03_8:44:41,260.0,706.0,202.0,584.0,152.0,245.0,1822.0,82.0,81.0,547.0,32.0,179.0
2016-06-03_8:44:45,257.0,720.0,212.0,600.0,152.0,259.0,1879.0,84.0,93.0,588.0,34.0,182.0
2016-06-03_8:44:50,269.0,744.0,212.0,601.0,161.0,256.0,1932.0,82.0,85.0,609.0,31.0,196.0
2016-06-03_8:44:55,236.0,713.0,205.0,582.0,155.0,245.0,1819.0,80.0,82.0,544.0,28.0,180.0
2016-06-03_8:44:59,249.0,700.0,204.0,586.0,149.0,254.0,1806.0,83.0,83.0,560.0,32.0,183.0
2016-06-03_8:45:04,258.0,704.0,213.0,584.0,154.0,258.0,1835.0,82.0,87.0,561.0,27.0,177.0
2016-06-03_8:45:08,257.0,719.0,209.0,588.0,154.0,255.0,1845.0,82.0,88.0,560.0,36.0,183.0
2016-06-03_8:45:13,242.0,725.0,201.0,584.0,148.0,256.0,1801.0,81.0,78.0,539.0,27.0,176.0
2016-06-03_8:45:17,258.0,713.0,211.0,588.0,152.0,260.0,1864.0,83.0,87.0,563.0,32.0,183.0
2016-06-03_8:45:22,242.0,720.0,196.0,578.0,147.0,249.0,1821.0,80.0,87.0,559.0,35.0,184.0
2016-06-03_8:45:27,242.0,702.0,202.0,590.0,154.0,250.0,1800.0,86.0,83.0,547.0,36.0,175.0
2016-06-03_8:45:31,246.0,704.0,209.0,582.0,143.0,248.0,1826.0,81.0,79.0,550.0,21.0,178.0
2016-06-03_8:45:36,257.0,697.0,201.0,596.0,151.0,248.0,1783.0,80.0,83.0,544.0,9.0,180.0
2016-06-03_8:45:40,261.0,727.0,204.0,589.0,149.0,254.0,1825.0,84.0,84.0,557.0,22.0,175.0
2016-06-03_8:45:45,246.0,707.0,211.0,599.0,145.0,257.0,1844.0,82.0,85.0,561.0,25.0,178.0
2016-06-03_8:45:50,249.0,728.0,210.0,581.0,149.0,243.0,1857.0,87.0,86.0,551.0,22.0,181.0
2016-06-03_8:45:54,260.0,723.0,207.0,597.0,147.0,246.0,1801.0,84.0,79.0,569.0,19.0,181.0
2016-06-03_8:45:59,262.0,713.0,212.0,576.0,153.0,250.0,1863.0,82.0,81.0,564.0,27.0,184.0
2016-06-03_8:46:03,250.0,711.0,206.0,573.0,143.0,252.0,1798.0,90.0,82.0,539.0,22.0,181.0
2016-06-03_8:46:08,243.0,714.0,205.0,572.0,156.0,244.0,1804.0,83.0,86.0,560.0,20.0,182.0
2016-06-03_8:46:13,261.0,715.0,214.0,590.0,156.0,251.0,1856.0,80.0,79.0,565.0,11.0,179.0
2016-06-03_8:46:17,252.0,693.0,200.0,590.0,145.0,244.0,1867.0,82.0,71.0,566.0,7.0,182.0
2016-06-03_8:46:22,242.0,705.0,204.0,580.0,149.0,251.0,1827.0,87.0,78.0,551.0,23.0,182.0
2016-06-03_8:46:26,256.0,722.0,216.0,590.0,159.0,252.0,1887.0,85.0,81.0,582.0,32.0,197.0
2016-06-03_8:46:31,248.0,709.0,201.0,594.0,150.0,258.0,1850.0,89.0,88.0,570.0,29.0,171.0
2016-06-03_8:46:36,251.0,713.0,210.0,582.0,146.0,250.0,1908.0,83.0,79.0,575.0,23.0,181.0
2016-06-03_8:46:40,251.0,698.0,209.0,580.0,143.0,257.0,1782.0,80.0,82.0,549.0,26.0,176.0
2016-06-03_8:46:45,253.0,690.0,211.0,589.0,150.0,246.0,1872.0,86.0,86.0,566.0,25.0,175.0
2016-06-03_8:46:49,255.0,702.0,208.0,581.0,157.0,246.0,1824.0,85.0,79.0,550.0,31.0,178.0
2016-06-03_8:46:54,250.0,702.0,207.0,581.0,154.0,242.0,1831.0,82.0,81.0,551.0,30.0,182.0
2016-06-03_8:46:58,256.0,714.0,210.0,594.0,148.0,254.0,1845.0,84.0,87.0,560.0,26.0,182.0
2016-06-03_8:47:03,256.0,713.0,215.0,586.0,150.0,254.0,1869.0,83.0,73.0,572.0,34.0,188.0
2016-06-03_8:47:08,240.0,692.0,205.0,573.0,146.0,234.0,1802.0,83.0,87.0,557.0,21.0,184.0
2016-06-03_8:47:12,247.0,692.0,210.0,581.0,154.0,246.0,1796.0,86.0,87.0,550.0,30.0,180.0
2016-06-03_8:47:17,256.0,708.0,214.0,586.0,154.0,250.0,1866.0,84.0,72.0,561.0,31.0,192.0
2016-06-03_8:47:21,255.0,699.0,202.0,584.0,143.0,254.0,1809.0,79.0,79.0,550.0,22.0,180.0
2016-06-03_8:47:26,252.0,679.0,203.0,583.0,144.0,241.0,1818.0,75.0,81.0,556.0,19.0,176.0
2016-06-03_8:47:30,246.0,692.0,207.0,563.0,148.0,251.0,1782.0,84.0,80.0,545.0,35.0,182.0
2016-06-03_8:47:35,257.0,693.0,207.0,573.0,155.0,245.0,1827.0,79.0,79.0,547.0,31.0,178.0
2016-06-03_8:47:40,250.0,697.0,213.0,575.0,155.0,247.0,1828.0,79.0,86.0,548.0,18.0,175.0
2016-06-03_8:47:44,257.0,691.0,207.0,588.0,153.0,244.0,1803.0,80.0,91.0,558.0,24.0,171.0
2016-06-03_8:47:49,251.0,701.0,206.0,581.0,151.0,246.0,1827.0,83.0,85.0,559.0,26.0,188.0
2016-06-03_8:47:53,245.0,706.0,206.0,584.0,155.0,252.0,1836.0,85.0,81.0,553.0,28.0,184.0
2016-06-03_8:47:58,252.0,693.0,207.0,581.0,141.0,245.0,1835.0,74.0,84.0,573.0,28.0,188.0
2016-06-03_8:48:02,261.0,682.0,206.0,570.0,156.0,247.0,1819.0,83.0,84.0,550.0,28.0,185.0
2016-06-03_8:48:07,248.0,682.0,199.0,571.0,156.0,235.0,1815.0,74.0,77.0,555.0,34.0,183.0
2016-06-03_8:48:12,249.0,679.0,210.0,578.0,152.0,245.0,1797.0,83.0,82.0,553.0,26.0,183.0
2016-06-03_8:48:16,240.0,677.0,208.0,569.0,140.0,235.0,1775.0,83.0,74.0,524.0,28.0,182.0
2016-06-03_8:48:21,238.0,675.0,198.0,573.0,147.0,243.0,1760.0,81.0,80.0,528.0,33.0,174.0
